base,schema,table,type_table,mode_detection,parametre_observe,parametre_normalise_auto,colonne_parametre,colonne_valeur,unite_detectee,volume_lignes,volume_valeurs_non_nulles,nb_valeurs_nulles,nb_valeurs_negatives,nb_valeurs_non_numeriques,min_valeur,max_valeur,premiere_date,derniere_date,exemple_valeur_1,exemple_valeur_2,exemple_valeur_3,source_origine,commentaire_auto
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,TH,th,parametre_qualite,type_mesure,°F,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,HCT,hct,parametre_qualite,type_mesure,à confirmer,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,S,s,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,T_Air,t air,parametre_qualite,type_mesure,°C,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Cl,cl,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Conductivite,conductivite,parametre_qualite,type_mesure,µS/cm,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,SiO3,sio3,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Phosphore_Total,phosphore total,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Azote_Org,azote org,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,TA,ta,parametre_qualite,type_mesure,°F,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Pheopigment,pheopigment,parametre_qualite,type_mesure,µg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Debit,debit,parametre_qualite,type_mesure,m³/s,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,DCO,dco,parametre_qualite,type_mesure,mg O2/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,PTD,ptd,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,dictionnaire_donnees,référentiel,colonne_large,column_name,column name,,column_name,à confirmer,0,0,,,,,,,,,,,db,
abh_sad,metadata,mapping_abreviation_colonne_inventaire,référentiel,colonne_large,source_column,source column,,source_column,à confirmer,13,13,0,0,13,,,2026-04-03 13:44:40.86033+00,2026-04-03 14:17:35.504512+00,Abréviati,,,db,
abh_sad,metadata,mapping_barrage,référentiel,colonne_large,duplicate_count,duplicate count,,duplicate_count,à confirmer,11,11,0,0,0,1,2,2026-04-03 08:19:49.595586+00,2026-04-03 12:21:27.328416+00,1,2,,db,
abh_sad,metadata,mapping_parametre_source,référentiel,colonne_large,source_column,source column,,source_column,à confirmer,184,184,0,0,184,,,2026-04-03 11:40:39.933573+00,2026-04-06 16:10:19.217855+00,p_annuelle,p_max,param_code_legacy,db,
abh_sad,metadata,mapping_parametre_source_orphans_audit,référentiel,colonne_large,source_column,source column,,source_column,à confirmer,5,5,0,0,5,,,2026-04-06 15:42:06.027864+00,2026-04-06 15:42:06.027864+00,val_observees,val_power_nasa,val_remplies,db,
abh_sad,metadata,mapping_parametre_unresolved_legacy_qualite_riviere,qualité,colonne_parametre,Se,se,parametre_qualite,sample_rows,à confirmer,1,1,0,0,0,434,434,1990-01-31,1990-01-31,434,,,mapping,
abh_sad,metadata,mapping_parametre_unresolved_legacy_qualite_riviere,qualité,colonne_parametre,Odeur,odeur,parametre_qualite,sample_rows,à confirmer,1,1,0,0,0,1,1,1994-05-17,1994-05-17,1,,,mapping,
abh_sad,metadata,mapping_parametre_unresolved_legacy_qualite_riviere,qualité,colonne_parametre,HCO,hco,parametre_qualite,sample_rows,à confirmer,1,1,0,0,0,2,2,1996-01-16,1996-01-16,2,,,mapping,
abh_sad,metadata,mapping_parametre_unresolved_legacy_qualite_riviere,qualité,colonne_parametre,As,as,parametre_qualite,sample_rows,à confirmer,1,1,0,0,0,240,240,1993-03-09,1993-03-09,240,,,mapping,
abh_sad,metadata,mapping_parametre_unresolved_legacy_qualite_riviere,qualité,colonne_parametre,Germe_tt_37,germe tt 37,parametre_qualite,sample_rows,à confirmer,1,1,0,0,0,2,2,1994-07-06,1994-07-06,2,,,mapping,
abh_sad,metadata,mapping_parametre_unresolved_legacy_qualite_riviere,qualité,colonne_parametre,Ph�nol,phnol,parametre_qualite,sample_rows,à confirmer,1,1,0,0,0,682,682,1990-01-31,1990-01-31,682,,,mapping,
