table_a,id_point_a,x_a,y_a,table_b,id_point_b,x_b,y_b,distance_m,type_match
staging.raw_idp_2024_mesures_qualite_marche_cadre,1920,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1921,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1922,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1923,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1924,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1925,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1926,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1927,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1928,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1929,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,193,449723.0,470980.0,staging.raw_idp_2024_src_pollution_globale,129,455166.0,465731.0,7561.63,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1930,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1931,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1932,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1933,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1934,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1935,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1936,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1937,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1938,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1939,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,194,449723.0,470980.0,staging.raw_idp_2024_src_pollution_globale,129,455166.0,465731.0,7561.63,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1940,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1941,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1942,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1943,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1944,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1945,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1946,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1947,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1948,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1949,487400.0,362700.0,staging.raw_idp_2024_src_pollution_globale,140,493126.0,361075.0,5952.117,distant
